created_at,match_id,match,league,date,kickoff_kst,coach_status,tactics_status,injury_status,suspension_status,lineup_status,transfer_scout_status,news_notice_status,proto_market_status,overall_status,missing_items
2026-07-09 20:53:22 KST,ls_2026-07-10_20:00_한국M_일본M,한국M vs 일본M,국제,2026-07-10,20:00,감독 취임일 없음,감독 전술 없음,주전 부상 없음,결장 없음,예상 라인업 없음,영입/이적/스카우트 없음,뉴스/공지 없음,실제 프로토 기준점/배당 없음 - 템플릿,자료확인 필요,감독 취임일 / 감독 전술 / 주전 부상 / 결장 / 예상 라인업 / 영입/이적/스카우트 / 뉴스/공지 / 실제 프로토 기준점/배당
2026-07-09 20:53:22 KST,ls_2026-07-10_22:00_미국_벨기에,미국 vs 벨기에,국제,2026-07-10,22:00,감독 취임일 없음,감독 전술 없음,주전 부상 없음,결장 없음,예상 라인업 없음,영입/이적/스카우트 없음,뉴스/공지 없음,실제 프로토 기준점/배당 없음 - 템플릿,자료확인 필요,감독 취임일 / 감독 전술 / 주전 부상 / 결장 / 예상 라인업 / 영입/이적/스카우트 / 뉴스/공지 / 실제 프로토 기준점/배당
2026-07-09 20:53:22 KST,ls_2026-07-10_23:00_LA_Dodgers_Colorado_Rockies,LA다저스 vs 콜로라도,MLB,2026-07-10,23:00,감독 취임일 없음,감독 전술 없음,주전 부상 없음,결장 없음,예상 라인업 없음,영입/이적/스카우트 없음,뉴스/공지 없음,실제 프로토 기준점/배당 없음 - 템플릿,자료확인 필요,감독 취임일 / 감독 전술 / 주전 부상 / 결장 / 예상 라인업 / 영입/이적/스카우트 / 뉴스/공지 / 실제 프로토 기준점/배당
