created_at,match_id,date,kickoff_kst,league,home_team_ko,away_team_ko,main_prediction,proto_game_no,proto_market_type,proto_pick,proto_odds,livescore_match_status,match_score,check_match,check_time,check_1x2,check_handicap,check_overunder,check_odds_change,check_livescore,check_manual_marking,auto_buy,auto_payment
2026-07-09 20:53:22 KST,ls_2026-07-10_20:00_한국M_일본M,2026-07-10,20:00,국제,한국M,일본M,홈무 80 낮,5702,승무패,패,1.15,MATCHED,1.0,경기명 확인: 한국M vs 일본M,시간 확인: 20:00,승무패 확인: 홈 78 낮 / 실물배당 1.15,핸디캡 확인: 홈H 74 중,언더/오버 확인: 오버 74 낮,현장/공식 화면 배당 변동 확인,라이브스코어 MATCHED 확인,오프라인에서 직접 마킹 완료 확인,NO,NO
2026-07-09 20:53:22 KST,ls_2026-07-10_22:00_미국_벨기에,2026-07-10,22:00,국제,미국,벨기에,홈무 80 낮,5788,핸디캡,승,1.48,MATCHED,1.0,경기명 확인: 미국 vs 벨기에,시간 확인: 22:00,승무패 확인: 홈 78 낮 / 실물배당 1.48,핸디캡 확인: 홈H 74 중,언더/오버 확인: 오버 74 낮,현장/공식 화면 배당 변동 확인,라이브스코어 MATCHED 확인,오프라인에서 직접 마킹 완료 확인,NO,NO
2026-07-09 20:53:22 KST,ls_2026-07-10_23:00_LA_Dodgers_Colorado_Rockies,2026-07-10,23:00,MLB,LA다저스,콜로라도,홈무 80 낮,5820,언더오버,오버,1.82,MATCHED,1.0,경기명 확인: LA다저스 vs 콜로라도,시간 확인: 23:00,승무패 확인: 홈 78 낮 / 실물배당 1.82,핸디캡 확인: 홈H 74 중,언더/오버 확인: 오버 74 낮,현장/공식 화면 배당 변동 확인,라이브스코어 MATCHED 확인,오프라인에서 직접 마킹 완료 확인,NO,NO
