time,step,status,message,fixtures_msg,history_msg,analysis_rows,mobile_rows,fixture_board_rows,prediction_explain_rows,offline_checklist_rows,diagnosis,missing_data_rows
2026-07-09 20:53:22 KST,standardize_analyze,ok,"analysis=30, mobile=30",구매용 MATCHED 경기 3건 표준화,과거 완료경기 30건 표준화,30,30,3,3,3,"{""time"": ""2026-07-09 20:53:22 KST"", ""counts"": {""source_livescore_fixtures"": 0, ""source_livescore_team_form"": 0, ""source_livescore_h2h"": 0, ""source_livescore_news"": 0, ""source_football_data"": 30, ""source_sportmonks"": 0, ""source_thesportsdb"": 0, ""source_proto_markets"": 0, ""source_manual"": 0, ""source_proto_ticket"": 4, ""source_livescore_schedule"": 4, ""matched_proto_livescore"": 4, ""standard_upcoming_fixtures"": 3, ""standard_history_matches"": 30, ""standard_team_form"": 6, ""standard_team_home_away"": 6, ""standard_h2h"": 3, ""standard_coaches"": 0, ""standard_transfers"": 0, ""standard_injuries"": 0, ""standard_lineups"": 0, ""standard_news_flags"": 0, ""standard_markets"": 30, ""analysis_scores"": 30, ""mobile_recommendations"": 30, ""hub_send_logs"": 0, ""run_logs"": 0, ""error_logs"": 0, ""backend_diagnosis"": 0, ""missing_data_report"": 3, ""coach_status"": 3, ""injury_status"": 3, ""lineup_status"": 3, ""transfer_status"": 3, ""news_status"": 3, ""proto_market_status"": 3, ""sportmonks_status"": 0, ""fixture_prediction_results"": 3, ""prediction_explain"": 3, ""offline_checklist"": 3, ""hub_payload_latest"": 0, ""hub_payload_queue"": 0}, ""missing"": [""부상/결장 자료 없음"", ""라인업 자료 없음""], ""missing_summary"": {""coach_status"": 3, ""tactics_status"": 3, ""injury_status"": 3, ""suspension_status"": 3, ""lineup_status"": 3, ""transfer_scout_status"": 3, ""news_notice_status"": 3, ""proto_market_status"": 3}, ""hub_url"": ""OFF"", ""google_sheet_url"": ""OFF"", ""sportmonks"": {""enabled"": ""N"", ""token_detected"": false, ""token_preview"": """", ""url_template"": ""https://api.sportmonks.com/v3/football/fixtures/between/{today_dash}/{to_dash}?api_token={api_key}&include=participants;league""}}",3
2026-07-09 20:53:22 KST,proto_auto_schedule_match,ok,프로토+자동수집 일정 매칭: MATCHED 4 / 전체 4 · 구매용 오늘~7일 3건,,,,,,,,,
2026-07-09 20:53:22 KST,standardize_analyze,ok,"analysis=30, mobile=30",구매용 MATCHED 경기 3건 표준화,과거 완료경기 30건 표준화,30,30,3,3,3,"{""time"": ""2026-07-09 20:53:22 KST"", ""counts"": {""source_livescore_fixtures"": 0, ""source_livescore_team_form"": 0, ""source_livescore_h2h"": 0, ""source_livescore_news"": 0, ""source_football_data"": 30, ""source_sportmonks"": 0, ""source_thesportsdb"": 0, ""source_proto_markets"": 0, ""source_manual"": 0, ""source_proto_ticket"": 4, ""source_livescore_schedule"": 4, ""matched_proto_livescore"": 4, ""standard_upcoming_fixtures"": 3, ""standard_history_matches"": 30, ""standard_team_form"": 6, ""standard_team_home_away"": 6, ""standard_h2h"": 3, ""standard_coaches"": 0, ""standard_transfers"": 0, ""standard_injuries"": 0, ""standard_lineups"": 0, ""standard_news_flags"": 0, ""standard_markets"": 30, ""analysis_scores"": 30, ""mobile_recommendations"": 30, ""hub_send_logs"": 0, ""run_logs"": 2, ""error_logs"": 0, ""backend_diagnosis"": 0, ""missing_data_report"": 3, ""coach_status"": 3, ""injury_status"": 3, ""lineup_status"": 3, ""transfer_status"": 3, ""news_status"": 3, ""proto_market_status"": 3, ""sportmonks_status"": 0, ""fixture_prediction_results"": 3, ""prediction_explain"": 3, ""offline_checklist"": 3, ""hub_payload_latest"": 0, ""hub_payload_queue"": 0}, ""missing"": [""부상/결장 자료 없음"", ""라인업 자료 없음""], ""missing_summary"": {""coach_status"": 3, ""tactics_status"": 3, ""injury_status"": 3, ""suspension_status"": 3, ""lineup_status"": 3, ""transfer_scout_status"": 3, ""news_notice_status"": 3, ""proto_market_status"": 3}, ""hub_url"": ""OFF"", ""google_sheet_url"": ""OFF"", ""sportmonks"": {""enabled"": ""N"", ""token_detected"": false, ""token_preview"": """", ""url_template"": ""https://api.sportmonks.com/v3/football/fixtures/between/{today_dash}/{to_dash}?api_token={api_key}&include=participants;league""}}",3
